,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,West Germany_result_value
0,0,79,1283,211,1954-06-17,1954,Switzerland,Berne,Wankdorf Stadium,28000.0,Groups,West Germany,FRG,Turkey,TUR,1,1,3,0,4,1,West Germany,1.0,1.0,3.0,0.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
1,1,87,1277,211,1954-06-20,1954,Switzerland,Basel,St. Jakob,56000.0,Groups,Hungary,HUN,West Germany,FRG,3,1,5,2,8,3,Hungary,3.0,1.0,5.0,2.0,8.0,3.0,Groups,Groups,1.0,1.0,1.0
2,2,91,1284,211,1954-06-23,1954,Switzerland,Zürich,Hardturm,17000.0,Groups,West Germany,FRG,Turkey,TUR,3,1,4,1,7,2,West Germany,3.0,1.0,4.0,1.0,7.0,2.0,Groups,Groups,1.0,1.0,1.0
3,3,95,1285,212,1954-06-27,1954,Switzerland,Geneva,Charmilles,17000.0,Quarterfinals,West Germany,FRG,Yugoslavia,YUG,1,0,1,0,2,0,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
4,4,97,1233,462,1954-06-30,1954,Switzerland,Basel,St. Jakob,58000.0,Semifinals,West Germany,FRG,Austria,AUT,1,0,5,1,6,1,West Germany,1.0,0.0,5.0,1.0,6.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
5,5,100,1278,3484,1954-07-04,1954,Switzerland,Berne,Wankdorf Stadium,62500.0,Finals,West Germany,FRG,Hungary,HUN,2,2,1,0,3,2,West Germany,2.0,2.0,1.0,0.0,3.0,2.0,Champion,Finals,7.0,6.0,7.0
6,6,103,1323,220,1958-06-08,1958,Sweden,Malmö,Malmo Stadion,31156.0,Groups,Argentina,ARG,West Germany,FRG,1,2,0,1,1,3,West Germany,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
7,7,114,1391,220,1958-06-11,1958,Sweden,Helsingborg,Olympia Stadium,25000.0,Groups,West Germany,FRG,Czechoslovakia,TCH,0,2,2,0,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
8,8,119,1389,220,1958-06-15,1958,Sweden,Malmö,Malmo Stadion,21990.0,Groups,West Germany,FRG,Northern Ireland,NIR,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,129,1392,221,1958-06-19,1958,Sweden,Malmö,Malmo Stadion,20055.0,Quarterfinals,West Germany,FRG,Yugoslavia,YUG,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
10,10,132,1390,488,1958-06-24,1958,Sweden,Gothenburg,Nya Ullevi,49471.0,Semifinals,Sweden,SWE,West Germany,FRG,1,1,2,0,3,1,Sweden,1.0,1.0,2.0,0.0,3.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
11,11,134,1382,3483,1958-06-28,1958,Sweden,Gothenburg,Nya Ullevi,32483.0,Third place,France,FRA,West Germany,FRG,3,1,3,2,6,3,France,3.0,1.0,3.0,2.0,6.0,3.0,Third place,Third place,5.0,5.0,5.0
12,12,143,1507,231,1962-05-31,1962,Chile,Santiago,Nacional,65440.0,Groups,West Germany,FRG,Italy,ITA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
13,13,151,1510,231,1962-06-03,1962,Chile,Santiago,Nacional,64922.0,Groups,West Germany,FRG,Switzerland,SUI,1,0,1,1,2,1,West Germany,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
14,14,155,1471,231,1962-06-06,1962,Chile,Santiago,Nacional,67224.0,Groups,West Germany,FRG,Chile,CHI,1,0,1,0,2,0,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
15,15,163,1511,232,1962-06-10,1962,Chile,Santiago,Nacional,63324.0,Quarterfinals,Yugoslavia,YUG,West Germany,FRG,0,0,1,0,1,0,Yugoslavia,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
16,16,169,1656,238,1966-07-12,1966,England,Sheffield,Hillsborough,36127.0,Groups,West Germany,FRG,Switzerland,SUI,3,0,2,0,5,0,West Germany,3.0,0.0,2.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,181,1579,238,1966-07-16,1966,England,Birmingham,Villa Park,46587.0,Groups,West Germany,FRG,Argentina,ARG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
18,18,190,1637,238,1966-07-20,1966,England,Birmingham,Villa Park,42187.0,Groups,West Germany,FRG,Spain,ESP,1,1,1,0,2,1,West Germany,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
19,19,193,1660,239,1966-07-23,1966,England,Sheffield,Hillsborough,40007.0,Quarterfinals,West Germany,FRG,Uruguay,URU,1,0,3,0,4,0,West Germany,1.0,0.0,3.0,0.0,4.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
20,20,196,1659,536,1966-07-25,1966,England,Liverpool,Goodison Park,38273.0,Semifinals,West Germany,FRG,Soviet Union,URS,1,0,1,1,2,1,West Germany,1.0,0.0,1.0,1.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
21,21,199,1633,3478,1966-07-30,1966,England,London,Wembley Stadium,96924.0,Finals,England,ENG,West Germany,FRG,0,0,4,2,4,2,England,0.0,0.0,4.0,2.0,4.0,2.0,Champion,Finals,7.0,6.0,6.0
22,22,205,1839,250,1970-06-03,1970,Mexico,León,Nou Camp - Estadio León,12942.0,Groups,West Germany,FRG,Morocco,MAR,0,1,2,0,2,1,West Germany,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
23,23,213,1774,250,1970-06-07,1970,Mexico,León,Nou Camp - Estadio León,12710.0,Groups,West Germany,FRG,Bulgaria,BUL,2,1,3,1,5,2,West Germany,2.0,1.0,3.0,1.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
24,24,217,1840,250,1970-06-10,1970,Mexico,León,Nou Camp - Estadio León,17875.0,Groups,West Germany,FRG,Peru,PER,3,1,0,0,3,1,West Germany,3.0,1.0,0.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
25,25,225,1811,251,1970-06-14,1970,Mexico,León,Nou Camp - Estadio León,23357.0,Quarterfinals,West Germany,FRG,England,ENG,0,0,3,2,3,2,West Germany,0.0,0.0,3.0,2.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
26,26,229,1838,569,1970-06-17,1970,Mexico,Mexico City,Estadio Azteca,102444.0,Semifinals,Italy,ITA,West Germany,FRG,0,0,4,3,4,3,Italy,0.0,0.0,4.0,3.0,4.0,3.0,Semifinals,Semifinals,4.0,4.0,4.0
27,27,230,1843,3477,1970-06-20,1970,Mexico,Mexico City,Estadio Azteca,104403.0,Third place,West Germany,FRG,Uruguay,URU,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
28,28,233,2003,262,1974-06-14,1974,Germany,Berlin,Olympiastadion,81100.0,Groups,West Germany,FRG,Chile,CHI,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
29,29,240,1954,262,1974-06-18,1974,Germany,Hamburg,Volksparkstadion,53300.0,Groups,Australia,AUS,West Germany,FRG,0,2,0,1,0,3,West Germany,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
30,30,251,2062,262,1974-06-22,1974,Germany,Hamburg,Volksparkstadion,60200.0,Groups,East Germany,GDR,West Germany,FRG,0,0,1,0,1,0,East Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
31,31,256,2066,263,1974-06-26,1974,Germany,Düsseldorf,Rheinstadion,67385.0,Round of 16,Yugoslavia,YUG,West Germany,FRG,0,1,0,1,0,2,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
32,32,263,2065,263,1974-06-30,1974,Germany,Düsseldorf,Rheinstadion,67800.0,Round of 16,West Germany,FRG,Sweden,SWE,0,1,4,1,4,2,West Germany,0.0,1.0,4.0,1.0,4.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
33,33,264,2064,263,1974-07-03,1974,Germany,Frankfurt am Main,Waldstadion,62000.0,Round of 16,Poland,POL,West Germany,FRG,0,0,0,1,0,1,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
34,34,269,2063,605,1974-07-07,1974,Germany,Munich,Olympiastadion,78200.0,Finals,Netherlands,NED,West Germany,FRG,1,2,0,0,1,2,West Germany,2.0,1.0,0.0,0.0,2.0,1.0,Finals,Champion,6.0,7.0,7.0
35,35,270,2351,278,1978-06-01,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,67579.0,Groups,West Germany,FRG,Poland,POL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
36,36,281,2350,278,1978-06-06,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,35258.0,Groups,West Germany,FRG,Mexico,MEX,4,0,2,0,6,0,West Germany,4.0,0.0,2.0,0.0,6.0,0.0,Groups,Groups,1.0,1.0,1.0
37,37,289,2352,278,1978-06-10,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,30667.0,Groups,West Germany,FRG,Tunisia,TUN,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
38,38,295,2349,279,1978-06-14,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,67547.0,Round of 16,West Germany,FRG,Italy,ITA,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
39,39,301,2348,279,1978-06-18,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,40750.0,Round of 16,West Germany,FRG,Netherlands,NED,1,1,1,1,2,2,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
40,40,304,2217,279,1978-06-21,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,38318.0,Round of 16,Austria,AUT,West Germany,FRG,0,1,3,1,3,2,Austria,0.0,1.0,3.0,1.0,3.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
41,41,315,741,293,1982-06-16,1982,Spain,Gijón,El Molinon,42000.0,Groups,West Germany,FRG,Algeria,ALG,0,0,1,2,1,2,Algeria,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
42,42,327,813,293,1982-06-20,1982,Spain,Gijón,El Molinon,42000.0,Groups,West Germany,FRG,Chile,CHI,1,0,3,1,4,1,West Germany,1.0,0.0,3.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
43,43,341,770,293,1982-06-25,1982,Spain,Gijón,El Molinon,41000.0,Groups,West Germany,FRG,Austria,AUT,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
44,44,347,879,294,1982-06-29,1982,Spain,Madrid,Santiago Bernabeu,75000.0,Round of 16,West Germany,FRG,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
45,45,351,900,294,1982-07-02,1982,Spain,Madrid,Santiago Bernabeu,90089.0,Round of 16,West Germany,FRG,Spain,ESP,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
46,46,357,914,295,1982-07-08,1982,Spain,Seville,Ramon Sanchez Pizjuan,70000.0,Semifinals,West Germany,FRG,France,FRA,0,0,3,3,3,3,West Germany,0.0,0.0,3.0,3.0,3.0,3.0,Semifinals,Semifinals,4.0,4.0,4.0
47,47,359,923,3475,1982-07-11,1982,Spain,Madrid,Santiago Bernabeu,90000.0,Finals,Italy,ITA,West Germany,FRG,0,0,3,1,3,1,Italy,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,6.0
48,48,371,585,308,1986-06-04,1986,Mexico,Querétaro,Estadio Corregidora,30500.0,Groups,Uruguay,URU,West Germany,FRG,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
49,49,383,580,308,1986-06-08,1986,Mexico,Querétaro,Estadio Corregidora,30000.0,Groups,West Germany,FRG,Scotland,SCO,1,1,1,0,2,1,West Germany,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
50,50,395,512,308,1986-06-13,1986,Mexico,Querétaro,Estadio Corregidora,36000.0,Groups,Denmark,DEN,West Germany,FRG,1,0,1,0,2,0,Denmark,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
51,51,401,574,309,1986-06-17,1986,Mexico,Monterrey,Estadio Universitario,19800.0,Round of 16,Morocco,MAR,West Germany,FRG,0,0,0,1,0,1,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
52,52,405,575,714,1986-06-21,1986,Mexico,Monterrey,Estadio Universitario,41700.0,Quarterfinals,West Germany,FRG,Mexico,MEX,0,0,0,0,0,0,West Germany,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
53,53,408,564,3469,1986-06-25,1986,Mexico,Guadalajara,Jalisco,45000.0,Semifinals,France,FRA,West Germany,FRG,0,1,0,1,0,2,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
54,54,411,393,3467,1986-06-29,1986,Mexico,Mexico City,Estadio Azteca,114600.0,Finals,Argentina,ARG,West Germany,FRG,1,0,2,2,3,2,Argentina,1.0,0.0,2.0,2.0,3.0,2.0,Champion,Finals,7.0,6.0,6.0
55,55,418,201,322,1990-06-10,1990,Italy,Milan,Giuseppe Meazza,74765.0,Groups,West Germany,FRG,Yugoslavia,YUG,2,0,2,1,4,1,West Germany,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
56,56,429,198,322,1990-06-15,1990,Italy,Milan,Giuseppe Meazza,71169.0,Groups,West Germany,FRG,United Arab Emirates,UAE,2,0,3,1,5,1,West Germany,2.0,0.0,3.0,1.0,5.0,1.0,Groups,Groups,1.0,1.0,1.0
57,57,438,114,322,1990-06-19,1990,Italy,Milan,Giuseppe Meazza,72510.0,Groups,West Germany,FRG,Colombia,COL,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
58,58,451,196,323,1990-06-24,1990,Italy,Milan,Giuseppe Meazza,74559.0,Round of 16,West Germany,FRG,Netherlands,NED,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
59,59,458,197,751,1990-07-01,1990,Italy,Milan,Giuseppe Meazza,73347.0,Quarterfinals,West Germany,FRG,Czechoslovakia,TCH,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
60,60,461,159,3464,1990-07-04,1990,Italy,Turin,Stadio delle Alpi,62628.0,Semifinals,West Germany,FRG,England,ENG,0,0,1,1,1,1,West Germany,0.0,0.0,1.0,1.0,1.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
61,61,463,27,3462,1990-07-08,1990,Italy,Rome,Stadio Olimpico,73603.0,Finals,West Germany,FRG,Argentina,ARG,0,0,1,0,1,0,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
